"","package","month","total"
"179","anomalize",2013-10-01,0
"180","anomalize",2013-11-01,0
"181","anomalize",2013-12-01,0
"182","anomalize",2014-01-01,0
"183","anomalize",2014-02-01,0
"184","anomalize",2014-03-01,0
"185","anomalize",2014-04-01,0
"186","anomalize",2014-05-01,0
"187","anomalize",2014-06-01,0
"188","anomalize",2014-07-01,0
"189","anomalize",2014-08-01,0
"190","anomalize",2014-09-01,0
"191","anomalize",2014-10-01,0
"192","anomalize",2014-11-01,0
"193","anomalize",2014-12-01,0
"194","anomalize",2015-01-01,0
"195","anomalize",2015-02-01,0
"196","anomalize",2015-03-01,0
"197","anomalize",2015-04-01,0
"198","anomalize",2015-05-01,0
"199","anomalize",2015-06-01,0
"200","anomalize",2015-07-01,0
"201","anomalize",2015-08-01,0
"202","anomalize",2015-09-01,0
"203","anomalize",2015-10-01,0
"204","anomalize",2015-11-01,0
"205","anomalize",2015-12-01,0
"206","anomalize",2016-01-01,0
"207","anomalize",2016-02-01,0
"208","anomalize",2016-03-01,0
"209","anomalize",2016-04-01,0
"210","anomalize",2016-05-01,0
"211","anomalize",2016-06-01,0
"212","anomalize",2016-07-01,0
"213","anomalize",2016-08-01,0
"214","anomalize",2016-09-01,0
"215","anomalize",2016-10-01,0
"216","anomalize",2016-11-01,0
"217","anomalize",2016-12-01,0
"218","anomalize",2017-01-01,0
"219","anomalize",2017-02-01,0
"220","anomalize",2017-03-01,0
"221","anomalize",2017-04-01,0
"222","anomalize",2017-05-01,0
"223","anomalize",2017-06-01,0
"224","anomalize",2017-07-01,0
"225","anomalize",2017-08-01,0
"226","anomalize",2017-09-01,0
"227","anomalize",2017-10-01,0
"228","anomalize",2017-11-01,0
"229","anomalize",2017-12-01,0
"230","anomalize",2018-01-01,0
"231","anomalize",2018-02-01,0
"232","anomalize",2018-03-01,0
"233","anomalize",2018-04-01,2118
"234","anomalize",2018-05-01,861
"235","anomalize",2018-06-01,1170
"236","anomalize",2018-07-01,1035
"237","anomalize",2018-08-01,811
"238","anomalize",2018-09-01,1418
"239","anomalize",2018-10-01,1658
"240","anomalize",2018-11-01,1465
"241","anomalize",2018-12-01,1737
"242","anomalize",2019-01-01,1997
"243","anomalize",2019-02-01,1492
"244","anomalize",2019-03-01,1716
"245","anomalize",2019-04-01,1900
"246","anomalize",2019-05-01,1827
"247","anomalize",2019-06-01,1432
"248","anomalize",2019-07-01,1728
"249","anomalize",2019-08-01,477
"250","ARCensReg",2012-10-01,0
"251","ARCensReg",2012-11-01,0
"252","ARCensReg",2012-12-01,0
"253","ARCensReg",2013-01-01,0
"254","ARCensReg",2013-02-01,0
"255","ARCensReg",2013-03-01,0
"256","ARCensReg",2013-04-01,0
"257","ARCensReg",2013-05-01,0
"258","ARCensReg",2013-06-01,0
"259","ARCensReg",2013-07-01,0
"260","ARCensReg",2013-08-01,0
"261","ARCensReg",2013-09-01,0
"262","ARCensReg",2013-10-01,0
"263","ARCensReg",2013-11-01,0
"264","ARCensReg",2013-12-01,0
"265","ARCensReg",2014-01-01,0
"266","ARCensReg",2014-02-01,0
"267","ARCensReg",2014-03-01,0
"268","ARCensReg",2014-04-01,0
"269","ARCensReg",2014-05-01,0
"270","ARCensReg",2014-06-01,0
"271","ARCensReg",2014-07-01,0
"272","ARCensReg",2014-08-01,0
"273","ARCensReg",2014-09-01,0
"274","ARCensReg",2014-10-01,0
"275","ARCensReg",2014-11-01,0
"276","ARCensReg",2014-12-01,0
"277","ARCensReg",2015-01-01,0
"278","ARCensReg",2015-02-01,0
"279","ARCensReg",2015-03-01,0
"280","ARCensReg",2015-04-01,0
"281","ARCensReg",2015-05-01,0
"282","ARCensReg",2015-06-01,0
"283","ARCensReg",2015-07-01,0
"284","ARCensReg",2015-08-01,0
"285","ARCensReg",2015-09-01,0
"286","ARCensReg",2015-10-01,0
"287","ARCensReg",2015-11-01,0
"288","ARCensReg",2015-12-01,0
"289","ARCensReg",2016-01-01,0
"290","ARCensReg",2016-02-01,0
"291","ARCensReg",2016-03-01,0
"292","ARCensReg",2016-04-01,0
"293","ARCensReg",2016-05-01,106
"294","ARCensReg",2016-06-01,174
"295","ARCensReg",2016-07-01,216
"296","ARCensReg",2016-08-01,116
"297","ARCensReg",2016-09-01,248
"298","ARCensReg",2016-10-01,254
"299","ARCensReg",2016-11-01,255
"300","ARCensReg",2016-12-01,232
"301","ARCensReg",2017-01-01,209
"302","ARCensReg",2017-02-01,158
"303","ARCensReg",2017-03-01,190
"304","ARCensReg",2017-04-01,386
"305","ARCensReg",2017-05-01,210
"306","ARCensReg",2017-06-01,183
"307","ARCensReg",2017-07-01,216
"308","ARCensReg",2017-08-01,213
"309","ARCensReg",2017-09-01,239
"310","ARCensReg",2017-10-01,222
"311","ARCensReg",2017-11-01,199
"312","ARCensReg",2017-12-01,140
"313","ARCensReg",2018-01-01,179
"314","ARCensReg",2018-02-01,149
"315","ARCensReg",2018-03-01,157
"316","ARCensReg",2018-04-01,297
"317","ARCensReg",2018-05-01,204
"318","ARCensReg",2018-06-01,842
"319","ARCensReg",2018-07-01,220
"320","ARCensReg",2018-08-01,137
"321","ARCensReg",2018-09-01,450
"322","ARCensReg",2018-10-01,399
"323","ARCensReg",2018-11-01,437
"324","ARCensReg",2018-12-01,352
"325","ARCensReg",2019-01-01,443
"326","ARCensReg",2019-02-01,442
"327","ARCensReg",2019-03-01,579
"328","ARCensReg",2019-04-01,520
"329","ARCensReg",2019-05-01,720
"330","ARCensReg",2019-06-01,343
"331","ARCensReg",2019-07-01,597
"332","ARCensReg",2019-08-01,136
"333","ArDec",2012-10-01,6
"334","ArDec",2012-11-01,2
"335","ArDec",2012-12-01,42
"336","ArDec",2013-01-01,0
"337","ArDec",2013-02-01,3
"338","ArDec",2013-03-01,3
"339","ArDec",2013-04-01,2
"340","ArDec",2013-05-01,130
"341","ArDec",2013-06-01,362
"342","ArDec",2013-07-01,238
"343","ArDec",2013-08-01,236
"344","ArDec",2013-09-01,399
"345","ArDec",2013-10-01,269
"346","ArDec",2013-11-01,276
"347","ArDec",2013-12-01,239
"348","ArDec",2014-01-01,408
"349","ArDec",2014-02-01,356
"350","ArDec",2014-03-01,392
"351","ArDec",2014-04-01,421
"352","ArDec",2014-05-01,312
"353","ArDec",2014-06-01,301
"354","ArDec",2014-07-01,344
"355","ArDec",2014-08-01,569
"356","ArDec",2014-09-01,457
"357","ArDec",2014-10-01,487
"358","ArDec",2014-11-01,564
"359","ArDec",2014-12-01,403
"360","ArDec",2015-01-01,617
"361","ArDec",2015-02-01,488
"362","ArDec",2015-03-01,677
"363","ArDec",2015-04-01,713
"364","ArDec",2015-05-01,519
"365","ArDec",2015-06-01,497
"366","ArDec",2015-07-01,447
"367","ArDec",2015-08-01,518
"368","ArDec",2015-09-01,528
"369","ArDec",2015-10-01,541
"370","ArDec",2015-11-01,539
"371","ArDec",2015-12-01,437
"372","ArDec",2016-01-01,456
"373","ArDec",2016-02-01,419
"374","ArDec",2016-03-01,386
"375","ArDec",2016-04-01,336
"376","ArDec",2016-05-01,340
"377","ArDec",2016-06-01,294
"378","ArDec",2016-07-01,373
"379","ArDec",2016-08-01,441
"380","ArDec",2016-09-01,300
"381","ArDec",2016-10-01,350
"382","ArDec",2016-11-01,388
"383","ArDec",2016-12-01,289
"384","ArDec",2017-01-01,338
"385","ArDec",2017-02-01,250
"386","ArDec",2017-03-01,265
"387","ArDec",2017-04-01,534
"388","ArDec",2017-05-01,347
"389","ArDec",2017-06-01,258
"390","ArDec",2017-07-01,435
"391","ArDec",2017-08-01,277
"392","ArDec",2017-09-01,331
"393","ArDec",2017-10-01,359
"394","ArDec",2017-11-01,306
"395","ArDec",2017-12-01,199
"396","ArDec",2018-01-01,275
"397","ArDec",2018-02-01,203
"398","ArDec",2018-03-01,256
"399","ArDec",2018-04-01,393
"400","ArDec",2018-05-01,338
"401","ArDec",2018-06-01,416
"402","ArDec",2018-07-01,288
"403","ArDec",2018-08-01,246
"404","ArDec",2018-09-01,676
"405","ArDec",2018-10-01,560
"406","ArDec",2018-11-01,548
"407","ArDec",2018-12-01,482
"408","ArDec",2019-01-01,550
"409","ArDec",2019-02-01,553
"410","ArDec",2019-03-01,758
"411","ArDec",2019-04-01,621
"412","ArDec",2019-05-01,1082
"413","ArDec",2019-06-01,485
"414","ArDec",2019-07-01,815
"415","ArDec",2019-08-01,186
"416","arfima",2012-10-01,0
"417","arfima",2012-11-01,0
"418","arfima",2012-12-01,32
"419","arfima",2013-01-01,180
"420","arfima",2013-02-01,181
"421","arfima",2013-03-01,236
"422","arfima",2013-04-01,320
"423","arfima",2013-05-01,235
"424","arfima",2013-06-01,256
"425","arfima",2013-07-01,241
"426","arfima",2013-08-01,199
"427","arfima",2013-09-01,323
"428","arfima",2013-10-01,301
"429","arfima",2013-11-01,304
"430","arfima",2013-12-01,254
"431","arfima",2014-01-01,301
"432","arfima",2014-02-01,382
"433","arfima",2014-03-01,371
"434","arfima",2014-04-01,429
"435","arfima",2014-05-01,347
"436","arfima",2014-06-01,273
"437","arfima",2014-07-01,598
"438","arfima",2014-08-01,482
"439","arfima",2014-09-01,407
"440","arfima",2014-10-01,461
"441","arfima",2014-11-01,618
"442","arfima",2014-12-01,529
"443","arfima",2015-01-01,586
"444","arfima",2015-02-01,499
"445","arfima",2015-03-01,605
"446","arfima",2015-04-01,684
"447","arfima",2015-05-01,550
"448","arfima",2015-06-01,492
"449","arfima",2015-07-01,418
"450","arfima",2015-08-01,440
"451","arfima",2015-09-01,522
"452","arfima",2015-10-01,533
"453","arfima",2015-11-01,529
"454","arfima",2015-12-01,598
"455","arfima",2016-01-01,860
"456","arfima",2016-02-01,564
"457","arfima",2016-03-01,516
"458","arfima",2016-04-01,467
"459","arfima",2016-05-01,438
"460","arfima",2016-06-01,419
"461","arfima",2016-07-01,448
"462","arfima",2016-08-01,301
"463","arfima",2016-09-01,402
"464","arfima",2016-10-01,402
"465","arfima",2016-11-01,564
"466","arfima",2016-12-01,428
"467","arfima",2017-01-01,421
"468","arfima",2017-02-01,702
"469","arfima",2017-03-01,488
"470","arfima",2017-04-01,729
"471","arfima",2017-05-01,528
"472","arfima",2017-06-01,1518
"473","arfima",2017-07-01,2984
"474","arfima",2017-08-01,3414
"475","arfima",2017-09-01,991
"476","arfima",2017-10-01,677
"477","arfima",2017-11-01,611
"478","arfima",2017-12-01,388
"479","arfima",2018-01-01,2222
"480","arfima",2018-02-01,530
"481","arfima",2018-03-01,553
"482","arfima",2018-04-01,684
"483","arfima",2018-05-01,570
"484","arfima",2018-06-01,1822
"485","arfima",2018-07-01,575
"486","arfima",2018-08-01,453
"487","arfima",2018-09-01,3240
"488","arfima",2018-10-01,1238
"489","arfima",2018-11-01,4883
"490","arfima",2018-12-01,725
"491","arfima",2019-01-01,797
"492","arfima",2019-02-01,735
"493","arfima",2019-03-01,1084
"494","arfima",2019-04-01,972
"495","arfima",2019-05-01,1418
"496","arfima",2019-06-01,719
"497","arfima",2019-07-01,985
"498","arfima",2019-08-01,261
"499","ASSA",2012-10-01,0
"500","ASSA",2012-11-01,0
"501","ASSA",2012-12-01,0
"502","ASSA",2013-01-01,0
"503","ASSA",2013-02-01,0
"504","ASSA",2013-03-01,0
"505","ASSA",2013-04-01,0
"506","ASSA",2013-05-01,0
