"","ctv","month","total"
"1826","MissingData",2019-08-01,2287880
"1827","ModelDeployment",2012-10-01,214
"1828","ModelDeployment",2012-11-01,2960
"1829","ModelDeployment",2012-12-01,4034
"1830","ModelDeployment",2013-01-01,5475
"1831","ModelDeployment",2013-02-01,6910
"1832","ModelDeployment",2013-03-01,8972
"1833","ModelDeployment",2013-04-01,16189
"1834","ModelDeployment",2013-05-01,15738
"1835","ModelDeployment",2013-06-01,16354
"1836","ModelDeployment",2013-07-01,16210
"1837","ModelDeployment",2013-08-01,18303
"1838","ModelDeployment",2013-09-01,20830
"1839","ModelDeployment",2013-10-01,26410
"1840","ModelDeployment",2013-11-01,26947
"1841","ModelDeployment",2013-12-01,27173
"1842","ModelDeployment",2014-01-01,31078
"1843","ModelDeployment",2014-02-01,41451
"1844","ModelDeployment",2014-03-01,44837
"1845","ModelDeployment",2014-04-01,55457
"1846","ModelDeployment",2014-05-01,47762
"1847","ModelDeployment",2014-06-01,62305
"1848","ModelDeployment",2014-07-01,65112
"1849","ModelDeployment",2014-08-01,71027
"1850","ModelDeployment",2014-09-01,73998
"1851","ModelDeployment",2014-10-01,95629
"1852","ModelDeployment",2014-11-01,95315
"1853","ModelDeployment",2014-12-01,85109
"1854","ModelDeployment",2015-01-01,119042
"1855","ModelDeployment",2015-02-01,127975
"1856","ModelDeployment",2015-03-01,155788
"1857","ModelDeployment",2015-04-01,163047
"1858","ModelDeployment",2015-05-01,158821
"1859","ModelDeployment",2015-06-01,169931
"1860","ModelDeployment",2015-07-01,154935
"1861","ModelDeployment",2015-08-01,190614
"1862","ModelDeployment",2015-09-01,215363
"1863","ModelDeployment",2015-10-01,222920
"1864","ModelDeployment",2015-11-01,239049
"1865","ModelDeployment",2015-12-01,227717
"1866","ModelDeployment",2016-01-01,245182
"1867","ModelDeployment",2016-02-01,249927
"1868","ModelDeployment",2016-03-01,276140
"1869","ModelDeployment",2016-04-01,283445
"1870","ModelDeployment",2016-05-01,331708
"1871","ModelDeployment",2016-06-01,331868
"1872","ModelDeployment",2016-07-01,334842
"1873","ModelDeployment",2016-08-01,333201
"1874","ModelDeployment",2016-09-01,438944
"1875","ModelDeployment",2016-10-01,537889
"1876","ModelDeployment",2016-11-01,574483
"1877","ModelDeployment",2016-12-01,467627
"1878","ModelDeployment",2017-01-01,568738
"1879","ModelDeployment",2017-02-01,662981
"1880","ModelDeployment",2017-03-01,768040
"1881","ModelDeployment",2017-04-01,690622
"1882","ModelDeployment",2017-05-01,718834
"1883","ModelDeployment",2017-06-01,784475
"1884","ModelDeployment",2017-07-01,820600
"1885","ModelDeployment",2017-08-01,779612
"1886","ModelDeployment",2017-09-01,950421
"1887","ModelDeployment",2017-10-01,1101549
"1888","ModelDeployment",2017-11-01,1224562
"1889","ModelDeployment",2017-12-01,986224
"1890","ModelDeployment",2018-01-01,1120481
"1891","ModelDeployment",2018-02-01,1023599
"1892","ModelDeployment",2018-03-01,1471869
"1893","ModelDeployment",2018-04-01,1586497
"1894","ModelDeployment",2018-05-01,1546318
"1895","ModelDeployment",2018-06-01,1539532
"1896","ModelDeployment",2018-07-01,1511356
"1897","ModelDeployment",2018-08-01,1402418
"1898","ModelDeployment",2018-09-01,1911596
"1899","ModelDeployment",2018-10-01,2388832
"1900","ModelDeployment",2018-11-01,2447861
"1901","ModelDeployment",2018-12-01,2157734
"1902","ModelDeployment",2019-01-01,2770218
"1903","ModelDeployment",2019-02-01,2814788
"1904","ModelDeployment",2019-03-01,2994333
"1905","ModelDeployment",2019-04-01,3229114
"1906","ModelDeployment",2019-05-01,3372963
"1907","ModelDeployment",2019-06-01,2873803
"1908","ModelDeployment",2019-07-01,3007535
"1909","ModelDeployment",2019-08-01,1107525
"1910","Multivariate",2012-10-01,11048
"1911","Multivariate",2012-11-01,188660
"1912","Multivariate",2012-12-01,208683
"1913","Multivariate",2013-01-01,379341
"1914","Multivariate",2013-02-01,434859
"1915","Multivariate",2013-03-01,509568
"1916","Multivariate",2013-04-01,575308
"1917","Multivariate",2013-05-01,560333
"1918","Multivariate",2013-06-01,515494
"1919","Multivariate",2013-07-01,523176
"1920","Multivariate",2013-08-01,550848
"1921","Multivariate",2013-09-01,759807
"1922","Multivariate",2013-10-01,895712
"1923","Multivariate",2013-11-01,943882
"1924","Multivariate",2013-12-01,761059
"1925","Multivariate",2014-01-01,961896
"1926","Multivariate",2014-02-01,1047553
"1927","Multivariate",2014-03-01,1340283
"1928","Multivariate",2014-04-01,1488986
"1929","Multivariate",2014-05-01,1174476
"1930","Multivariate",2014-06-01,1287843
"1931","Multivariate",2014-07-01,1257770
"1932","Multivariate",2014-08-01,1278490
"1933","Multivariate",2014-09-01,1418743
"1934","Multivariate",2014-10-01,1691226
"1935","Multivariate",2014-11-01,1723803
"1936","Multivariate",2014-12-01,1531843
"1937","Multivariate",2015-01-01,1765209
"1938","Multivariate",2015-02-01,2115192
"1939","Multivariate",2015-03-01,2603389
"1940","Multivariate",2015-04-01,2796073
"1941","Multivariate",2015-05-01,2576579
"1942","Multivariate",2015-06-01,2590257
"1943","Multivariate",2015-07-01,2552765
"1944","Multivariate",2015-08-01,2505191
"1945","Multivariate",2015-09-01,2844525
"1946","Multivariate",2015-10-01,3107176
"1947","Multivariate",2015-11-01,3233044
"1948","Multivariate",2015-12-01,2858225
"1949","Multivariate",2016-01-01,2996763
"1950","Multivariate",2016-02-01,3594530
"1951","Multivariate",2016-03-01,3943691
"1952","Multivariate",2016-04-01,3836450
"1953","Multivariate",2016-05-01,4841821
"1954","Multivariate",2016-06-01,3815180
"1955","Multivariate",2016-07-01,3193805
"1956","Multivariate",2016-08-01,3139640
"1957","Multivariate",2016-09-01,4566890
"1958","Multivariate",2016-10-01,5308949
"1959","Multivariate",2016-11-01,6239034
"1960","Multivariate",2016-12-01,4862571
"1961","Multivariate",2017-01-01,5313409
"1962","Multivariate",2017-02-01,6604205
"1963","Multivariate",2017-03-01,7105453
"1964","Multivariate",2017-04-01,6808309
"1965","Multivariate",2017-05-01,6938236
"1966","Multivariate",2017-06-01,5575193
"1967","Multivariate",2017-07-01,5079507
"1968","Multivariate",2017-08-01,4845697
"1969","Multivariate",2017-09-01,5452887
"1970","Multivariate",2017-10-01,6706112
"1971","Multivariate",2017-11-01,7524771
"1972","Multivariate",2017-12-01,5846659
"1973","Multivariate",2018-01-01,6736863
"1974","Multivariate",2018-02-01,5952934
"1975","Multivariate",2018-03-01,7988751
"1976","Multivariate",2018-04-01,8828501
"1977","Multivariate",2018-05-01,7924295
"1978","Multivariate",2018-06-01,7182190
"1979","Multivariate",2018-07-01,6499424
"1980","Multivariate",2018-08-01,6495105
"1981","Multivariate",2018-09-01,8486973
"1982","Multivariate",2018-10-01,10529662
"1983","Multivariate",2018-11-01,10905555
"1984","Multivariate",2018-12-01,7751918
"1985","Multivariate",2019-01-01,8814277
"1986","Multivariate",2019-02-01,9184794
"1987","Multivariate",2019-03-01,11476251
"1988","Multivariate",2019-04-01,10981456
"1989","Multivariate",2019-05-01,11351659
"1990","Multivariate",2019-06-01,9335577
"1991","Multivariate",2019-07-01,9552073
"1992","Multivariate",2019-08-01,3274315
"1993","NaturalLanguageProcessing",2012-10-01,653
"1994","NaturalLanguageProcessing",2012-11-01,7399
"1995","NaturalLanguageProcessing",2012-12-01,9767
"1996","NaturalLanguageProcessing",2013-01-01,21680
"1997","NaturalLanguageProcessing",2013-02-01,27053
"1998","NaturalLanguageProcessing",2013-03-01,25185
"1999","NaturalLanguageProcessing",2013-04-01,28137
"2000","NaturalLanguageProcessing",2013-05-01,25279
"2001","NaturalLanguageProcessing",2013-06-01,25291
"2002","NaturalLanguageProcessing",2013-07-01,27465
"2003","NaturalLanguageProcessing",2013-08-01,26851
"2004","NaturalLanguageProcessing",2013-09-01,32085
"2005","NaturalLanguageProcessing",2013-10-01,35715
"2006","NaturalLanguageProcessing",2013-11-01,53573
"2007","NaturalLanguageProcessing",2013-12-01,36990
"2008","NaturalLanguageProcessing",2014-01-01,39844
"2009","NaturalLanguageProcessing",2014-02-01,41774
"2010","NaturalLanguageProcessing",2014-03-01,53797
"2011","NaturalLanguageProcessing",2014-04-01,68775
"2012","NaturalLanguageProcessing",2014-05-01,58958
"2013","NaturalLanguageProcessing",2014-06-01,66565
"2014","NaturalLanguageProcessing",2014-07-01,67027
"2015","NaturalLanguageProcessing",2014-08-01,74555
"2016","NaturalLanguageProcessing",2014-09-01,77715
"2017","NaturalLanguageProcessing",2014-10-01,90673
"2018","NaturalLanguageProcessing",2014-11-01,107526
"2019","NaturalLanguageProcessing",2014-12-01,99752
"2020","NaturalLanguageProcessing",2015-01-01,127243
"2021","NaturalLanguageProcessing",2015-02-01,120035
"2022","NaturalLanguageProcessing",2015-03-01,157459
"2023","NaturalLanguageProcessing",2015-04-01,176274
"2024","NaturalLanguageProcessing",2015-05-01,280486
"2025","NaturalLanguageProcessing",2015-06-01,312469
"2026","NaturalLanguageProcessing",2015-07-01,294960
"2027","NaturalLanguageProcessing",2015-08-01,352389
"2028","NaturalLanguageProcessing",2015-09-01,354332
"2029","NaturalLanguageProcessing",2015-10-01,401311
"2030","NaturalLanguageProcessing",2015-11-01,476962
"2031","NaturalLanguageProcessing",2015-12-01,416819
"2032","NaturalLanguageProcessing",2016-01-01,448559
"2033","NaturalLanguageProcessing",2016-02-01,452172
"2034","NaturalLanguageProcessing",2016-03-01,455590
"2035","NaturalLanguageProcessing",2016-04-01,411307
"2036","NaturalLanguageProcessing",2016-05-01,475080
"2037","NaturalLanguageProcessing",2016-06-01,474073
"2038","NaturalLanguageProcessing",2016-07-01,427107
"2039","NaturalLanguageProcessing",2016-08-01,418066
"2040","NaturalLanguageProcessing",2016-09-01,547615
"2041","NaturalLanguageProcessing",2016-10-01,773913
"2042","NaturalLanguageProcessing",2016-11-01,784970
"2043","NaturalLanguageProcessing",2016-12-01,598161
"2044","NaturalLanguageProcessing",2017-01-01,638353
"2045","NaturalLanguageProcessing",2017-02-01,725027
"2046","NaturalLanguageProcessing",2017-03-01,912860
"2047","NaturalLanguageProcessing",2017-04-01,932630
"2048","NaturalLanguageProcessing",2017-05-01,878387
"2049","NaturalLanguageProcessing",2017-06-01,740765
"2050","NaturalLanguageProcessing",2017-07-01,651840
"2051","NaturalLanguageProcessing",2017-08-01,666715
"2052","NaturalLanguageProcessing",2017-09-01,854168
"2053","NaturalLanguageProcessing",2017-10-01,1051852
"2054","NaturalLanguageProcessing",2017-11-01,1206045
"2055","NaturalLanguageProcessing",2017-12-01,898586
"2056","NaturalLanguageProcessing",2018-01-01,1003155
"2057","NaturalLanguageProcessing",2018-02-01,871231
"2058","NaturalLanguageProcessing",2018-03-01,1980965
"2059","NaturalLanguageProcessing",2018-04-01,2170433
"2060","NaturalLanguageProcessing",2018-05-01,2446925
"2061","NaturalLanguageProcessing",2018-06-01,1596581
"2062","NaturalLanguageProcessing",2018-07-01,1248255
"2063","NaturalLanguageProcessing",2018-08-01,1271133
"2064","NaturalLanguageProcessing",2018-09-01,1588626
"2065","NaturalLanguageProcessing",2018-10-01,1850775
"2066","NaturalLanguageProcessing",2018-11-01,1669963
"2067","NaturalLanguageProcessing",2018-12-01,1182923
"2068","NaturalLanguageProcessing",2019-01-01,1469198
"2069","NaturalLanguageProcessing",2019-02-01,1481107
"2070","NaturalLanguageProcessing",2019-03-01,1790866
"2071","NaturalLanguageProcessing",2019-04-01,1649006
"2072","NaturalLanguageProcessing",2019-05-01,1592794
"2073","NaturalLanguageProcessing",2019-06-01,1556249
"2074","NaturalLanguageProcessing",2019-07-01,1364000
"2075","NaturalLanguageProcessing",2019-08-01,490087
"2076","NumericalMathematics",2012-10-01,2230
"2077","NumericalMathematics",2012-11-01,38908
"2078","NumericalMathematics",2012-12-01,41347
"2079","NumericalMathematics",2013-01-01,105522
"2080","NumericalMathematics",2013-02-01,126303
"2081","NumericalMathematics",2013-03-01,125480
"2082","NumericalMathematics",2013-04-01,111247
"2083","NumericalMathematics",2013-05-01,107988
"2084","NumericalMathematics",2013-06-01,98698
"2085","NumericalMathematics",2013-07-01,153845
"2086","NumericalMathematics",2013-08-01,163759
"2087","NumericalMathematics",2013-09-01,206807
"2088","NumericalMathematics",2013-10-01,221514
"2089","NumericalMathematics",2013-11-01,225208
"2090","NumericalMathematics",2013-12-01,177770
"2091","NumericalMathematics",2014-01-01,197805
"2092","NumericalMathematics",2014-02-01,243616
"2093","NumericalMathematics",2014-03-01,473389
"2094","NumericalMathematics",2014-04-01,522398
"2095","NumericalMathematics",2014-05-01,485853
"2096","NumericalMathematics",2014-06-01,548061
"2097","NumericalMathematics",2014-07-01,525639
"2098","NumericalMathematics",2014-08-01,500544
"2099","NumericalMathematics",2014-09-01,552475
"2100","NumericalMathematics",2014-10-01,723877
"2101","NumericalMathematics",2014-11-01,565934
"2102","NumericalMathematics",2014-12-01,670576
"2103","NumericalMathematics",2015-01-01,714256
"2104","NumericalMathematics",2015-02-01,876530
"2105","NumericalMathematics",2015-03-01,1127409
"2106","NumericalMathematics",2015-04-01,1212134
"2107","NumericalMathematics",2015-05-01,1046937
"2108","NumericalMathematics",2015-06-01,1129139
"2109","NumericalMathematics",2015-07-01,1241150
"2110","NumericalMathematics",2015-08-01,1475655
"2111","NumericalMathematics",2015-09-01,1533768
"2112","NumericalMathematics",2015-10-01,1563814
"2113","NumericalMathematics",2015-11-01,1870957
"2114","NumericalMathematics",2015-12-01,1461782
"2115","NumericalMathematics",2016-01-01,1483980
"2116","NumericalMathematics",2016-02-01,1523250
"2117","NumericalMathematics",2016-03-01,1605995
"2118","NumericalMathematics",2016-04-01,1873649
"2119","NumericalMathematics",2016-05-01,2094881
"2120","NumericalMathematics",2016-06-01,1570283
"2121","NumericalMathematics",2016-07-01,1445876
"2122","NumericalMathematics",2016-08-01,1379718
"2123","NumericalMathematics",2016-09-01,1893451
"2124","NumericalMathematics",2016-10-01,2019328
"2125","NumericalMathematics",2016-11-01,2385673
"2126","NumericalMathematics",2016-12-01,1814360
"2127","NumericalMathematics",2017-01-01,2133476
"2128","NumericalMathematics",2017-02-01,2452357
"2129","NumericalMathematics",2017-03-01,2889108
"2130","NumericalMathematics",2017-04-01,2912967
"2131","NumericalMathematics",2017-05-01,3087319
"2132","NumericalMathematics",2017-06-01,2603896
"2133","NumericalMathematics",2017-07-01,2300860
"2134","NumericalMathematics",2017-08-01,2290935
"2135","NumericalMathematics",2017-09-01,2520449
"2136","NumericalMathematics",2017-10-01,2967118
"2137","NumericalMathematics",2017-11-01,2981471
"2138","NumericalMathematics",2017-12-01,2512653
"2139","NumericalMathematics",2018-01-01,3142912
"2140","NumericalMathematics",2018-02-01,2717925
"2141","NumericalMathematics",2018-03-01,3666983
"2142","NumericalMathematics",2018-04-01,3644556
"2143","NumericalMathematics",2018-05-01,3980389
"2144","NumericalMathematics",2018-06-01,3551252
"2145","NumericalMathematics",2018-07-01,2986715
"2146","NumericalMathematics",2018-08-01,2794950
"2147","NumericalMathematics",2018-09-01,3770074
"2148","NumericalMathematics",2018-10-01,5095852
"2149","NumericalMathematics",2018-11-01,5393094
"2150","NumericalMathematics",2018-12-01,3856727
"2151","NumericalMathematics",2019-01-01,4286625
"2152","NumericalMathematics",2019-02-01,4291026
"2153","NumericalMathematics",2019-03-01,5195480
"2154","NumericalMathematics",2019-04-01,5707471
"2155","NumericalMathematics",2019-05-01,5417077
"2156","NumericalMathematics",2019-06-01,4396983
"2157","NumericalMathematics",2019-07-01,4573051
"2158","NumericalMathematics",2019-08-01,1717310
"2159","OfficialStatistics",2012-10-01,4258
"2160","OfficialStatistics",2012-11-01,68114
"2161","OfficialStatistics",2012-12-01,88078
"2162","OfficialStatistics",2013-01-01,176183
"2163","OfficialStatistics",2013-02-01,202074
"2164","OfficialStatistics",2013-03-01,190483
"2165","OfficialStatistics",2013-04-01,207510
"2166","OfficialStatistics",2013-05-01,206599
"2167","OfficialStatistics",2013-06-01,187459
"2168","OfficialStatistics",2013-07-01,247086
"2169","OfficialStatistics",2013-08-01,249517
"2170","OfficialStatistics",2013-09-01,309485
"2171","OfficialStatistics",2013-10-01,332764
"2172","OfficialStatistics",2013-11-01,395391
"2173","OfficialStatistics",2013-12-01,342168
"2174","OfficialStatistics",2014-01-01,417846
"2175","OfficialStatistics",2014-02-01,466206
"2176","OfficialStatistics",2014-03-01,627357
"2177","OfficialStatistics",2014-04-01,654576
"2178","OfficialStatistics",2014-05-01,472121
"2179","OfficialStatistics",2014-06-01,488437
"2180","OfficialStatistics",2014-07-01,492684
"2181","OfficialStatistics",2014-08-01,482964
"2182","OfficialStatistics",2014-09-01,518163
"2183","OfficialStatistics",2014-10-01,795305
"2184","OfficialStatistics",2014-11-01,705162
"2185","OfficialStatistics",2014-12-01,650234
"2186","OfficialStatistics",2015-01-01,870293
"2187","OfficialStatistics",2015-02-01,1105821
"2188","OfficialStatistics",2015-03-01,1272914
"2189","OfficialStatistics",2015-04-01,1228132
"2190","OfficialStatistics",2015-05-01,1176529
"2191","OfficialStatistics",2015-06-01,1233961
"2192","OfficialStatistics",2015-07-01,1368186
"2193","OfficialStatistics",2015-08-01,1498206
"2194","OfficialStatistics",2015-09-01,1766487
"2195","OfficialStatistics",2015-10-01,1921015
"2196","OfficialStatistics",2015-11-01,1889889
"2197","OfficialStatistics",2015-12-01,1530757
"2198","OfficialStatistics",2016-01-01,1916923
"2199","OfficialStatistics",2016-02-01,2658949
"2200","OfficialStatistics",2016-03-01,2883977
"2201","OfficialStatistics",2016-04-01,2639864
"2202","OfficialStatistics",2016-05-01,2892719
"2203","OfficialStatistics",2016-06-01,2189589
"2204","OfficialStatistics",2016-07-01,1693128
"2205","OfficialStatistics",2016-08-01,1581663
"2206","OfficialStatistics",2016-09-01,2167169
"2207","OfficialStatistics",2016-10-01,2411022
"2208","OfficialStatistics",2016-11-01,2960571
"2209","OfficialStatistics",2016-12-01,2305929
"2210","OfficialStatistics",2017-01-01,2973135
"2211","OfficialStatistics",2017-02-01,3547856
"2212","OfficialStatistics",2017-03-01,3337073
"2213","OfficialStatistics",2017-04-01,3207141
"2214","OfficialStatistics",2017-05-01,3371940
"2215","OfficialStatistics",2017-06-01,2648961
"2216","OfficialStatistics",2017-07-01,2345533
"2217","OfficialStatistics",2017-08-01,2218813
"2218","OfficialStatistics",2017-09-01,2476194
"2219","OfficialStatistics",2017-10-01,3100349
"2220","OfficialStatistics",2017-11-01,3168524
"2221","OfficialStatistics",2017-12-01,2494864
"2222","OfficialStatistics",2018-01-01,3061242
"2223","OfficialStatistics",2018-02-01,2711373
"2224","OfficialStatistics",2018-03-01,3721218
"2225","OfficialStatistics",2018-04-01,4005524
"2226","OfficialStatistics",2018-05-01,3233618
"2227","OfficialStatistics",2018-06-01,2959313
"2228","OfficialStatistics",2018-07-01,2882686
"2229","OfficialStatistics",2018-08-01,3011386
"2230","OfficialStatistics",2018-09-01,4111620
"2231","OfficialStatistics",2018-10-01,4796608
"2232","OfficialStatistics",2018-11-01,4777965
"2233","OfficialStatistics",2018-12-01,3603076
"2234","OfficialStatistics",2019-01-01,4289249
"2235","OfficialStatistics",2019-02-01,4735621
"2236","OfficialStatistics",2019-03-01,5422741
"2237","OfficialStatistics",2019-04-01,5690437
"2238","OfficialStatistics",2019-05-01,6174239
"2239","OfficialStatistics",2019-06-01,4560113
"2240","OfficialStatistics",2019-07-01,4507557
"2241","OfficialStatistics",2019-08-01,1787558
"2242","Optimization",2012-10-01,2889
"2243","Optimization",2012-11-01,33690
"2244","Optimization",2012-12-01,38036
"2245","Optimization",2013-01-01,70107
"2246","Optimization",2013-02-01,80964
"2247","Optimization",2013-03-01,99613
"2248","Optimization",2013-04-01,104622
"2249","Optimization",2013-05-01,94195
"2250","Optimization",2013-06-01,90957
"2251","Optimization",2013-07-01,89184
"2252","Optimization",2013-08-01,94214
"2253","Optimization",2013-09-01,122537
"2254","Optimization",2013-10-01,137518
"2255","Optimization",2013-11-01,162984
"2256","Optimization",2013-12-01,130508
"2257","Optimization",2014-01-01,146692
"2258","Optimization",2014-02-01,175379
"2259","Optimization",2014-03-01,277052
"2260","Optimization",2014-04-01,309944
"2261","Optimization",2014-05-01,229480
"2262","Optimization",2014-06-01,419655
"2263","Optimization",2014-07-01,402857
"2264","Optimization",2014-08-01,359851
"2265","Optimization",2014-09-01,313004
"2266","Optimization",2014-10-01,459500
"2267","Optimization",2014-11-01,419894
"2268","Optimization",2014-12-01,388552
"2269","Optimization",2015-01-01,546778
"2270","Optimization",2015-02-01,831661
"2271","Optimization",2015-03-01,980865
"2272","Optimization",2015-04-01,1025402
"2273","Optimization",2015-05-01,877320
"2274","Optimization",2015-06-01,944321
"2275","Optimization",2015-07-01,1001567
"2276","Optimization",2015-08-01,1068594
"2277","Optimization",2015-09-01,1172089
"2278","Optimization",2015-10-01,1182157
"2279","Optimization",2015-11-01,1233451
"2280","Optimization",2015-12-01,1047673
"2281","Optimization",2016-01-01,1136921
"2282","Optimization",2016-02-01,1470593
"2283","Optimization",2016-03-01,1671793
"2284","Optimization",2016-04-01,1462074
"2285","Optimization",2016-05-01,1636048
"2286","Optimization",2016-06-01,1510095
"2287","Optimization",2016-07-01,1315388
"2288","Optimization",2016-08-01,1213965
"2289","Optimization",2016-09-01,1774805
"2290","Optimization",2016-10-01,1959762
"2291","Optimization",2016-11-01,2103850
"2292","Optimization",2016-12-01,1599342
"2293","Optimization",2017-01-01,1646713
"2294","Optimization",2017-02-01,1816668
"2295","Optimization",2017-03-01,2129965
"2296","Optimization",2017-04-01,2426683
"2297","Optimization",2017-05-01,2399081
"2298","Optimization",2017-06-01,1920640
"2299","Optimization",2017-07-01,1911955
"2300","Optimization",2017-08-01,1968566
"2301","Optimization",2017-09-01,2092986
"2302","Optimization",2017-10-01,2597618
"2303","Optimization",2017-11-01,2744687
"2304","Optimization",2017-12-01,1946812
"2305","Optimization",2018-01-01,2115399
"2306","Optimization",2018-02-01,2127084
"2307","Optimization",2018-03-01,2778604
"2308","Optimization",2018-04-01,2873557
"2309","Optimization",2018-05-01,2793356
"2310","Optimization",2018-06-01,2474750
"2311","Optimization",2018-07-01,2148534
"2312","Optimization",2018-08-01,2203404
"2313","Optimization",2018-09-01,2956014
"2314","Optimization",2018-10-01,3581887
"2315","Optimization",2018-11-01,3427619
"2316","Optimization",2018-12-01,2536026
"2317","Optimization",2019-01-01,2826391
"2318","Optimization",2019-02-01,3626005
"2319","Optimization",2019-03-01,4541515
"2320","Optimization",2019-04-01,4514724
"2321","Optimization",2019-05-01,4048554
"2322","Optimization",2019-06-01,3147673
"2323","Optimization",2019-07-01,3660059
"2324","Optimization",2019-08-01,1251571
"2325","Pharmacokinetics",2012-10-01,70
"2326","Pharmacokinetics",2012-11-01,350
"2327","Pharmacokinetics",2012-12-01,434
"2328","Pharmacokinetics",2013-01-01,565
"2329","Pharmacokinetics",2013-02-01,592
"2330","Pharmacokinetics",2013-03-01,779
"2331","Pharmacokinetics",2013-04-01,892
"2332","Pharmacokinetics",2013-05-01,807
"2333","Pharmacokinetics",2013-06-01,709
"2334","Pharmacokinetics",2013-07-01,896
"2335","Pharmacokinetics",2013-08-01,1234
"2336","Pharmacokinetics",2013-09-01,1667
"2337","Pharmacokinetics",2013-10-01,1409
"2338","Pharmacokinetics",2013-11-01,1406
"2339","Pharmacokinetics",2013-12-01,1366
"2340","Pharmacokinetics",2014-01-01,1832
"2341","Pharmacokinetics",2014-02-01,1791
"2342","Pharmacokinetics",2014-03-01,2416
"2343","Pharmacokinetics",2014-04-01,2534
"2344","Pharmacokinetics",2014-05-01,1865
"2345","Pharmacokinetics",2014-06-01,2077
"2346","Pharmacokinetics",2014-07-01,1999
"2347","Pharmacokinetics",2014-08-01,3230
"2348","Pharmacokinetics",2014-09-01,2166
"2349","Pharmacokinetics",2014-10-01,2616
"2350","Pharmacokinetics",2014-11-01,2796
"2351","Pharmacokinetics",2014-12-01,2272
"2352","Pharmacokinetics",2015-01-01,3436
"2353","Pharmacokinetics",2015-02-01,2650
"2354","Pharmacokinetics",2015-03-01,3802
"2355","Pharmacokinetics",2015-04-01,4474
"2356","Pharmacokinetics",2015-05-01,3431
"2357","Pharmacokinetics",2015-06-01,3295
"2358","Pharmacokinetics",2015-07-01,2655
"2359","Pharmacokinetics",2015-08-01,3038
"2360","Pharmacokinetics",2015-09-01,2945
"2361","Pharmacokinetics",2015-10-01,3289
"2362","Pharmacokinetics",2015-11-01,3119
"2363","Pharmacokinetics",2015-12-01,2931
"2364","Pharmacokinetics",2016-01-01,3886
"2365","Pharmacokinetics",2016-02-01,3772
"2366","Pharmacokinetics",2016-03-01,3253
"2367","Pharmacokinetics",2016-04-01,2861
"2368","Pharmacokinetics",2016-05-01,2919
"2369","Pharmacokinetics",2016-06-01,2397
"2370","Pharmacokinetics",2016-07-01,2738
"2371","Pharmacokinetics",2016-08-01,2338
"2372","Pharmacokinetics",2016-09-01,2593
"2373","Pharmacokinetics",2016-10-01,3253
"2374","Pharmacokinetics",2016-11-01,4219
"2375","Pharmacokinetics",2016-12-01,5616
"2376","Pharmacokinetics",2017-01-01,5028
"2377","Pharmacokinetics",2017-02-01,3880
"2378","Pharmacokinetics",2017-03-01,7240
"2379","Pharmacokinetics",2017-04-01,7822
"2380","Pharmacokinetics",2017-05-01,7853
"2381","Pharmacokinetics",2017-06-01,11854
"2382","Pharmacokinetics",2017-07-01,9912
"2383","Pharmacokinetics",2017-08-01,5891
"2384","Pharmacokinetics",2017-09-01,7011
"2385","Pharmacokinetics",2017-10-01,10192
"2386","Pharmacokinetics",2017-11-01,5852
"2387","Pharmacokinetics",2017-12-01,4481
"2388","Pharmacokinetics",2018-01-01,5091
"2389","Pharmacokinetics",2018-02-01,4919
"2390","Pharmacokinetics",2018-03-01,10788
"2391","Pharmacokinetics",2018-04-01,8014
"2392","Pharmacokinetics",2018-05-01,7037
"2393","Pharmacokinetics",2018-06-01,7251
"2394","Pharmacokinetics",2018-07-01,9149
"2395","Pharmacokinetics",2018-08-01,5015
"2396","Pharmacokinetics",2018-09-01,9756
"2397","Pharmacokinetics",2018-10-01,9937
"2398","Pharmacokinetics",2018-11-01,12144
"2399","Pharmacokinetics",2018-12-01,8762
"2400","Pharmacokinetics",2019-01-01,10647
"2401","Pharmacokinetics",2019-02-01,8849
"2402","Pharmacokinetics",2019-03-01,12124
"2403","Pharmacokinetics",2019-04-01,11801
"2404","Pharmacokinetics",2019-05-01,18262
"2405","Pharmacokinetics",2019-06-01,9224
"2406","Pharmacokinetics",2019-07-01,15455
"2407","Pharmacokinetics",2019-08-01,4953
"2408","Phylogenetics",2012-10-01,1760
"2409","Phylogenetics",2012-11-01,24212
"2410","Phylogenetics",2012-12-01,29898
"2411","Phylogenetics",2013-01-01,50081
"2412","Phylogenetics",2013-02-01,59153
"2413","Phylogenetics",2013-03-01,74694
"2414","Phylogenetics",2013-04-01,89706
"2415","Phylogenetics",2013-05-01,87775
"2416","Phylogenetics",2013-06-01,80611
"2417","Phylogenetics",2013-07-01,86669
"2418","Phylogenetics",2013-08-01,83732
"2419","Phylogenetics",2013-09-01,109941
"2420","Phylogenetics",2013-10-01,153547
"2421","Phylogenetics",2013-11-01,146729
"2422","Phylogenetics",2013-12-01,113357
"2423","Phylogenetics",2014-01-01,146390
"2424","Phylogenetics",2014-02-01,160798
"2425","Phylogenetics",2014-03-01,204527
"2426","Phylogenetics",2014-04-01,233955
"2427","Phylogenetics",2014-05-01,220125
"2428","Phylogenetics",2014-06-01,661541
"2429","Phylogenetics",2014-07-01,332599
"2430","Phylogenetics",2014-08-01,243024
"2431","Phylogenetics",2014-09-01,273412
"2432","Phylogenetics",2014-10-01,328197
"2433","Phylogenetics",2014-11-01,320691
"2434","Phylogenetics",2014-12-01,277211
